name,Cuisine_type,protein,carbohydrate,total_fat,Estimated_Weight(g),calories
Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,94.51,47.04,58.45,200,1092.25
Paleo Chawanmushi (Savory Egg Custard) recipes,american,123.7,26.76,49.54,200,1047.7
Leftover Turkey Sandwich recipes,american,104.87,67.8,27.34,200,936.74
Turkey Club Sandwich,american,88.15,75.03,36.82,200,984.1
Paleo Crepes,french,38.94,39.38,121.68,200,1408.4
Paleo Spanish Rice,mediterranean,43.94,98.28,57.79,200,1088.99
Paleo Blini recipes,eastern europe,60.11,49.56,90.32,200,1251.56
Grain-Free Cauliflower Fried Rice recipes,chinese,50.61,76.74,72.64,200,1163.16
Paleo Mug Cake recipes,british,49.27,91.96,58.77,200,1093.85
Paleo Avocado Tuna Salad,mexican,73.94,55.3,70.75,200,1153.71
Crab + Avocado Temaki recipes,caribbean,100.31,36.9,62.79,200,1113.95
Paleo Dirty Rice recipes,caribbean,37.37,113.1,49.54,200,1047.74
Paleo Pork Chili Verde,american,105.38,66.55,28.07,200,940.35
Paleo Steak and Egg Salad,american,85.64,22.45,91.91,200,1259.55
Instant Pot Paleo Pork Tenderloin,french,163.54,7.59,28.87,200,944.35
Easy Paleo Herb Gravy recipes,french,44.94,74.48,80.58,200,1202.9
Paleo and Vegan Pesto stuffed mushrooms,american,28.42,41.05,130.53,200,1452.65
Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,37.37,113.1,49.54,200,1047.74
Paleo Cauliflower Bacon Fried Rice Recipe,chinese,45.34,78.84,75.82,200,1179.1
Orange Sriracha Chicken recipes,south east asian,82.69,65.86,51.45,200,1057.25
Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,98.09,49.43,52.48,200,1062.4
Salmon Cakes,nordic,105.3,13.63,81.07,200,1205.35
Crockpot Italian Chicken and Peppers,italian,80.42,79.36,40.21,200,1001.01
Roasted Tomato Soup,italian,43.94,99.11,56.95,200,1084.75
Turkey Spaghetti Zoodles,american,90.66,71.54,37.8,200,989
Celery Leaf & Fennel Poached Salmon,nordic,87.42,46.53,66.06,200,1130.34
Cauliflower Fried Rice,chinese,50.99,90.52,58.49,200,1092.45
Khoresht Lubia Sabz (Persian Green Bean Stew),american,100.93,57.84,41.23,200,1006.15
Cauliflower Soup Drizzled with White Truffle Oil,french,58.23,89.04,52.74,200,1063.74
"Kale, Artichoke and Pecorino Salad",mediterranean,54.35,59.41,86.24,200,1231.2
Slow-Cooker 'Osso Buco' Stew,italian,114.93,51.61,33.46,200,967.3
Low Carb Paleo Egg Wrap Recipe,american,54.73,93.35,51.92,200,1059.6
The Elvis Paleo Sandwich Recipe,american,26.56,96.69,76.74,200,1183.66
Paleo Wrap Carne Asada Recipe,mexican,107.02,50.96,42.02,200,1010.1
Toasted Egg Fiesta Paleo Wrap (Ketogenic),american,38.04,89.47,72.5,200,1162.54
Paleo Beef Stroganoff,eastern europe,134.54,22.91,42.56,200,1012.84
Papaya Chicken Paleo Wrap,british,74.32,61.34,64.34,200,1121.7
"Blueberry Almond Mug Cake (Paleo, Gluten Free)",american,34.58,81.59,83.83,200,1219.15
Smoked Salmon Paleo Wrap Bites,nordic,47.27,114.32,38.4,200,991.96
Primal Organic Chicken Recipe In A Paleo Wrap,american,60.61,81.83,57.55,200,1087.71
"Cauliflower Fried ""Rice"" (Paleo)",chinese,60.2,101.95,37.85,200,989.25
Slammin Wild Salmon Paleo Wrap Tumeric,nordic,97.17,46.46,56.37,200,1081.85
"Easy 10 Minute Asian Zucchini Noodles (low-carb, Paleo) recipes",asian,47.14,128.98,23.88,200,919.4
Paleo Maple Pecan Latte Mug Cake,american,30.81,89.83,79.35,200,1196.71
"Healthy Buffalo Turkey Meatballs (paleo, GF) recipes",american,113.78,15.38,70.84,200,1154.2
Primal Roast Beast Wrap Recipe,british,72.47,58.55,68.98,200,1144.9
Saucy Grilled Paleo Pork Chops Recipe,eastern europe,82.68,85.7,31.62,200,958.1
Paleo Chicken Taco Meatballs (GF) recipes,mexican,118.46,13.7,67.84,200,1139.2
"Blueberry Chia Seed Coleslaw (Paleo, GF) recipes",american,16.53,110.41,73.06,200,1165.3
Paleo Cauliflower Fried Rice,chinese,54.09,92.44,53.47,200,1067.35
"Easy Crab Cakes (Paleo, Low Carb) recipes",french,108.46,17.96,73.58,200,1167.9
"Egg Salad Lettuce Wraps (Paleo, GF) recipes",american,67.49,21.92,110.59,200,1352.95
Primal Curried Egg Salad Coconut Wraps,american,43.33,73.87,82.8,200,1214
Sesame Ginger Paleo Turkey Meatballs recipes,american,102.27,41.85,55.89,200,1079.49
Lemony Brussels Sprouts Salad {vegan+glutenfree+paleo},american,45.92,88.74,65.34,200,1126.7
"Paleo Kimchi Beef Stir-Fry (Whole30, Keto)",american,92.78,63.5,43.72,200,1018.6
Paleo Kale Orange Beef Stir Fry with Spiralized Sweet Potato Noodles,asian,56.65,95.47,47.87,200,1039.31
"French Tomato, Tuna, & Mustard Quiche (paleo, GF) recipes",french,69.4,67.33,63.27,200,1116.35
"Mixed Baby Greens with Strawberries, Gorgonzola and Poppy Seed Dressing recipes",mediterranean,26.68,94.7,78.62,200,1193.1
Chocolate Dipped Chocolate Meringue Cookies recipes,french,31.58,78.08,90.34,200,1251.7
Gai Satay (Chicken Satay with Peanut Sauce and Cucumber Salad),south east asian,111.91,20.69,67.4,200,1137
Sausage Stuffed Sweet Potatoes,american,40.13,103.56,56.31,200,1081.55
Sausage Stuffed Sweet Potatoes,central europe,40.13,103.56,56.31,200,1081.55
Green Beans with Scrambled Eggs and Sausages recipes,american,80.31,21.08,98.61,200,1293.05
Prosciutto Wrapped Pork Tenderloin,american,126.17,50.43,23.4,200,917
Elvis Style Loaded Sweet Potato,south american,27.77,103.93,68.3,200,1141.5
Turkey Taco Balls,american,121.2,43.29,35.5,200,977.46
Cauliflower Hash Browns Who Knew?,french,61.01,69.24,69.74,200,1148.66
Creamy Bacon Beet Salad recipes,american,22.38,63.51,114.1,200,1370.46
Walnut Pesto recipes,italian,72.51,36.3,91.19,200,1255.95
Low Carb Bulgogi Ground Beef Bowl recipes,british,105.71,57.62,36.66,200,983.26
Classic Egg Salad,american,59.9,18.23,121.87,200,1409.35
Cucumber Tuna Cups,mediterranean,61.46,40.98,97.56,200,1287.8
Sauteed Leek with Bacon recipes,french,25.26,85.27,89.47,200,1247.35
Roast a Whole Cauliflower recipes,american,35.99,115.22,48.79,200,1043.95
Paleo Tortillas,french,66.3,39.9,93.8,200,1269
Cauliflower Potato Salad,american,50.16,65.61,84.23,200,1221.15
Oven-Baked Parmesan Green Bean Fries,italian,90.49,50.72,58.8,200,1094.04
Paleo Spaghetti,italian,98.55,73.38,28.08,200,940.44
Chinese Beef and Broccoli recipes,chinese,85.46,70.67,43.88,200,1019.44
Paleo Grits,american,55.07,74.86,70.07,200,1150.35
Paleo Wraps,american,35.39,134.04,30.57,200,952.85
Paleo Hummus,mediterranean,34.88,56.91,108.2,200,1340.96
Paleo Spaghetti,italian,98.55,73.38,28.08,200,940.44
Delectable Spinach Zucchini Bites for an Easy Party Snack recipes,italian,62.37,107.15,30.48,200,952.4
Pan-Roasted Cashew Broccoli recipes,british,52.41,102.55,45.04,200,1025.2
Paleo Spaghetti,italian,86.03,57.02,56.94,200,1084.66
Low Carb Cauliflower Potato Salad recipes,american,32.03,91.14,76.83,200,1184.15
Whole30 Tuna Salad,american,68.02,90.56,41.42,200,1007.1
Paleo Middle Eastern Meatballs (Paleo Kibbeh) recipes,middle eastern,119.99,21.81,58.2,200,1091
Shoyu Ahi Poke recipes,japanese,171.7,17.78,10.52,200,852.6
Keto Fried Fish,south east asian,120.09,21.96,57.95,200,1089.75
Paleo Salmon Cakes,nordic,127.47,13.92,58.6,200,1092.96
Ground Beef Skillet with Pesto and Greens (Low-FODMAP),british,112.97,13.62,73.42,200,1167.14
Chocolate Ice Cream - That's Dairy AND (Added) Sugar Free,american,23.89,137.46,38.65,200,993.25
Paleo Stir Fry,american,88.97,81.68,29.35,200,946.75
Roasted Garlic Mashed Potatoes recipes,american,50.8,128.25,20.95,200,904.75
Grilled Asian Style Wild Alaskan Black Cod recipes,japanese,98.73,86.14,15.13,200,875.65
Roasted Beet and Micro Kale Egg White Frittata,italian,76.94,41.01,82.06,200,1210.34
Paleo Hamburger Buns,american,26.23,136.81,36.96,200,984.8
Paleo Chicken Stew,american,118.02,59.48,22.5,200,912.5
Summer Squash Tomato Bake,american,33.87,108.51,57.62,200,1088.1
Healthy Fettuccine Alfredo recipes,italian,26.78,119.32,53.9,200,1069.5
Paleo Cheese recipes,french,68.54,66.32,65.13,200,1125.61
Paleo Peppermint Macaroons,french,18,97.97,84.03,200,1220.15
Paleo Sandwich Thins,american,42.79,123.91,33.3,200,966.5
Paleo Shrimp Scampi,chinese,163.81,19.71,16.48,200,882.4
Paleo Spinach Crepes,italian,41.86,118.66,39.48,200,997.4
PALEO CREPES recipes,french,71.88,50.27,77.86,200,1189.34
Paleo Taco Soup,mexican,155.06,25.16,19.78,200,898.9
Easy Chicken Marsala,italian,111.52,37.55,50.93,200,1054.65
Paleo Cauli Couscous,middle eastern,36.25,121.44,42.31,200,1011.55
Easy Paleo Falafel,mediterranean,36.38,54.81,108.81,200,1344.05
Paleo Mini Quiche,french,119.03,19.18,61.79,200,1108.95
Paleo Fettuccine Alfredo,italian,69.6,88.97,41.44,200,1007.24
Paleo Crepes recipes,french,37.48,93.69,68.84,200,1144.24
Paleo Greek 'Rice',mediterranean,23.01,78.18,98.81,200,1294.05
Paleo Breakfast Sandwich,american,48.02,33.76,118.22,200,1391.1
Paleo Hungarian Goulash,central europe,116.64,40.98,42.39,200,1011.99
Paleo Cod Burgers,nordic,141.06,45.94,13.01,200,865.09
Paleo Tortillas recipes,mediterranean,65.62,73.23,61.16,200,1105.84
Paleo Dirty Rice,french,37.37,113.1,49.54,200,1047.74
Paleo Fried Rice,chinese,44.41,61.76,93.83,200,1269.15
Paleo cauliflower puree,mediterranean,26.15,88.56,85.28,200,1226.36
Paleo Hummus recipes,mediterranean,40.56,72.67,86.76,200,1233.76
Jamerican Paleo Burger,nordic,100.56,33.57,65.87,200,1129.35
Paleo Zucchini Burger,american,53.21,104.49,42.3,200,1011.5
Low Carb Broiled Asian Chicken Thighs recipes,chinese,140.61,13.01,46.38,200,1031.9
Whole30 Potato Salad recipes,mediterranean,13.24,110.29,76.47,200,1182.35
